Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
7,0,Unknown,2,0,0,312.0,0.0,812,17,0,16,2,0,2
19,1,Unknown,0,42,0,0.0,0.0,889,18,6,13,5,0,0
19,0,Unknown,0,42,0,0.0,0.0,976,15,4,17,3,0,0
17,0,Unknown,0,22,0,5.0,0.0,1138,17,3,13,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,983,16,4,9,3,0,0
15,0,Unknown,0,22,0,-1.0,-1.0,1049,10,1,20,5,0,0
2,1,IN,0,13,0,-1.0,-1.0,947,15,5,7,6,1,0
20,1,Unknown,0,42,0,-1.0,-1.0,861,11,0,6,1,0,0
6,0,Unknown,0,0,0,-1.0,-1.0,797,13,1,16,3,0,0
4,0,FR,0,22,0,10.0,0.0,845,18,2,23,5,0,0
7,1,Unknown,0,42,0,114.0,0.0,812,17,0,21,4,0,0
17,1,Unknown,0,13,0,-1.0,-1.0,1163,18,6,13,6,0,0
1,1,Unknown,0,42,0,-1.0,0.0,1144,4,4,0,4,0,0
1,0,Unknown,0,42,0,-1.0,0.0,931,19,6,7,5,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1119,6,1,6,1,1,0
17,1,Unknown,0,10,0,1.0,18.0,1178,16,5,21,3,0,0
4,1,GB,0,22,0,16.0,0.0,836,15,4,3,1,0,0
21,0,IN,0,10,0,-1.0,-1.0,1000,14,1,17,0,0,0
19,1,Unknown,0,42,0,5.0,0.0,1077,18,1,17,6,0,0
2,0,IN,0,13,0,-1.0,-1.0,854,14,0,23,2,0,0
4,0,India,2,13,1,-1.0,-1.0,1255,14,5,18,3,0,2
14,1,IN,0,19,0,3.0,0.0,946,19,5,10,3,0,0
19,1,Unknown,0,42,0,0.0,0.0,876,12,6,16,5,0,0
12,1,Unknown,0,42,0,-1.0,-1.0,1252,10,1,22,0,0,0
19,1,Unknown,0,42,0,1.0,0.0,873,12,2,22,6,0,0
15,0,Unknown,0,13,0,-1.0,-1.0,1033,19,2,15,2,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,883,12,6,13,5,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,828,2,5,12,3,0,0
13,0,Unknown,2,42,0,-1.0,-1.0,903,10,0,13,6,0,2
21,0,IN,0,22,0,-1.0,-1.0,1028,9,1,21,6,0,0
15,0,Unknown,0,13,0,259.0,0.0,924,16,0,22,6,0,0
17,0,Unknown,0,13,0,-1.0,-1.0,1052,17,5,16,4,0,0
4,0,Unknown,0,22,0,-1.0,-1.0,1144,19,3,13,3,0,0
2,1,IN,0,10,0,10.0,11.0,924,10,0,11,2,0,0
4,0,Unknown,0,10,0,-1.0,-1.0,1343,18,1,6,1,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1106,19,6,13,5,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1195,15,2,0,2,0,0
2,0,SG,0,6,0,198.0,0.0,892,12,4,12,5,0,0
21,0,IN,0,10,0,-1.0,-1.0,1073,15,5,18,3,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1043,12,0,17,6,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1067,14,4,19,1,0,0
6,1,Unknown,0,42,0,-1.0,-1.0,797,13,1,17,3,0,0
13,0,Unknown,0,22,0,35.0,0.0,896,12,0,11,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1094,14,5,23,1,0,0
6,1,Unknown,0,42,0,-1.0,-1.0,797,13,1,15,5,0,0
15,1,Unknown,0,30,0,296.0,0.0,912,16,5,23,2,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,852,1,2,8,0,0,0
10,1,Unknown,2,0,0,8.0,20.0,808,10,4,10,5,0,2
